"","entrezgene_id","ensembl_gene_id"
"52593",NA,"ENSG00000273710"
"52594",NA,"ENSG00000273711"
"52595",NA,"ENSG00000273712"
"52596",NA,"ENSG00000273716"
"52597",NA,"ENSG00000273717"
"52598",NA,"ENSG00000273719"
"52599",NA,"ENSG00000273720"
"52600",NA,"ENSG00000273721"
"52601",NA,"ENSG00000273723"
"52602",NA,"ENSG00000273724"
"52603",NA,"ENSG00000273725"
"52604",NA,"ENSG00000273727"
"52605",NA,"ENSG00000273729"
"52606",NA,"ENSG00000273730"
"52607",NA,"ENSG00000273731"
"52608",NA,"ENSG00000273732"
"52609",NA,"ENSG00000273733"
"52610",NA,"ENSG00000273734"
"52611",NA,"ENSG00000273736"
"52612",NA,"ENSG00000273739"
"52613",102466103,"ENSG00000273742"
"52614",NA,"ENSG00000273744"
"52615",102465525,"ENSG00000273745"
"52616",NA,"ENSG00000273746"
"52617",NA,"ENSG00000273747"
"52618",NA,"ENSG00000273748"
"52619",23191,"ENSG00000273749"
"52620",NA,"ENSG00000273750"
"52621",102723623,"ENSG00000273756"
"52622",102465473,"ENSG00000273758"
"52623",NA,"ENSG00000273759"
"52624",NA,"ENSG00000273760"
"52625",NA,"ENSG00000273762"
"52626",NA,"ENSG00000273763"
"52627",NA,"ENSG00000273765"
"52628",NA,"ENSG00000273767"
"52629",NA,"ENSG00000273768"
"52630",100996465,"ENSG00000273769"
"52631",NA,"ENSG00000273771"
"52632",NA,"ENSG00000273773"
"52633",102465134,"ENSG00000273776"
"52634",125931,"ENSG00000273777"
"52635",102465458,"ENSG00000273778"
"52636",NA,"ENSG00000273782"
"52637",NA,"ENSG00000273783"
"52638",NA,"ENSG00000273784"
"52639",NA,"ENSG00000273786"
"52640",NA,"ENSG00000273788"
"52641",NA,"ENSG00000273791"
"52642",NA,"ENSG00000273792"
"52643",NA,"ENSG00000273796"
"52644",NA,"ENSG00000273797"
"52645",NA,"ENSG00000273800"
"52646",8339,"ENSG00000273802"
"52647",NA,"ENSG00000273804"
"52648",NA,"ENSG00000273805"
"52649",NA,"ENSG00000273806"
"52650",NA,"ENSG00000273812"
"52651",NA,"ENSG00000273813"
"52652",NA,"ENSG00000273816"
"52653",NA,"ENSG00000273818"
"52654",NA,"ENSG00000273819"
"52655",389856,"ENSG00000273820"
"52656",NA,"ENSG00000273821"
"52657",NA,"ENSG00000273824"
"52658",NA,"ENSG00000273825"
"52659",NA,"ENSG00000273828"
"52660",NA,"ENSG00000273829"
"52661",102465832,"ENSG00000273830"
"52662",100033450,"ENSG00000273835"
"52663",102465507,"ENSG00000273836"
"52664",NA,"ENSG00000273837"
"52665",NA,"ENSG00000273838"
"52666",NA,"ENSG00000273840"
"52667",6880,"ENSG00000273841"
"52668",NA,"ENSG00000273843"
"52669",NA,"ENSG00000273844"
"52670",NA,"ENSG00000273846"
"52671",NA,"ENSG00000273849"
"52672",NA,"ENSG00000273851"
"52673",NA,"ENSG00000273853"
"52674",NA,"ENSG00000273855"
"52675",NA,"ENSG00000273858"
"52676",NA,"ENSG00000273860"
"52677",NA,"ENSG00000273863"
"52678",NA,"ENSG00000273866"
"52679",NA,"ENSG00000273870"
"52680",NA,"ENSG00000273872"
"52681",102465909,"ENSG00000273874"
"52682",NA,"ENSG00000273876"
"52683",105373373,"ENSG00000273877"
"52684",102465868,"ENSG00000273882"
"52685",NA,"ENSG00000273885"
"52686",NA,"ENSG00000273886"
"52687",145438,"ENSG00000273888"
"52688",NA,"ENSG00000273890"
"52689",NA,"ENSG00000273891"
"52690",NA,"ENSG00000273893"
"52691",NA,"ENSG00000273894"
"52692",NA,"ENSG00000273897"
"52693",102466738,"ENSG00000273898"
"52694",79159,"ENSG00000273899"
"52695",NA,"ENSG00000273900"
"52696",NA,"ENSG00000273901"
"52697",NA,"ENSG00000273904"
"52698",NA,"ENSG00000273906"
"52699",NA,"ENSG00000273907"
"52700",NA,"ENSG00000273908"
"52701",102466876,"ENSG00000273912"
"52702",NA,"ENSG00000273913"
"52703",NA,"ENSG00000273919"
"52704",NA,"ENSG00000273920"
"52705",NA,"ENSG00000273923"
"52706",NA,"ENSG00000273925"
"52707",NA,"ENSG00000273927"
"52708",102465528,"ENSG00000273932"
"52709",NA,"ENSG00000273933"
"52710",NA,"ENSG00000273937"
"52711",NA,"ENSG00000273940"
"52712",NA,"ENSG00000273942"
"52713",102466201,"ENSG00000273945"
"52714",NA,"ENSG00000273946"
"52715",NA,"ENSG00000273948"
"52716",NA,"ENSG00000273950"
"52717",NA,"ENSG00000273951"
"52718",NA,"ENSG00000273956"
"52719",NA,"ENSG00000273957"
"52720",NA,"ENSG00000273958"
"52721",NA,"ENSG00000273961"
"52722",NA,"ENSG00000273962"
"52723",NA,"ENSG00000273963"
"52724",NA,"ENSG00000273964"
"52725",NA,"ENSG00000273965"
"52726",NA,"ENSG00000273966"
"52727",NA,"ENSG00000273971"
"52728",NA,"ENSG00000273972"
"52729",NA,"ENSG00000273973"
"52730",NA,"ENSG00000273974"
"52731",NA,"ENSG00000273975"
"52732",283767,"ENSG00000273976"
"52733",NA,"ENSG00000273978"
"52734",NA,"ENSG00000273979"
"52735",NA,"ENSG00000273980"
"52736",NA,"ENSG00000273981"
"52737",NA,"ENSG00000273982"
"52738",8355,"ENSG00000273983"
"52739",NA,"ENSG00000273986"
"52740",NA,"ENSG00000273987"
"52741",NA,"ENSG00000273988"
"52742",NA,"ENSG00000273989"
"52743",NA,"ENSG00000273994"
"52744",NA,"ENSG00000273997"
"52745",NA,"ENSG00000273998"
"52746",NA,"ENSG00000273999"
"52747",NA,"ENSG00000274001"
"52748",NA,"ENSG00000274002"
"52749",NA,"ENSG00000274004"
"52750",NA,"ENSG00000274006"
"52751",NA,"ENSG00000274008"
"52752",NA,"ENSG00000274010"
"52753",NA,"ENSG00000274011"
"52754",378706,"ENSG00000274012"
"52755",NA,"ENSG00000274015"
"52756",NA,"ENSG00000274017"
"52757",NA,"ENSG00000274019"
"52758",NA,"ENSG00000274020"
"52759",NA,"ENSG00000274021"
"52760",NA,"ENSG00000274022"
"52761",NA,"ENSG00000274023"
"52762",NA,"ENSG00000274024"
"52763",103504740,"ENSG00000274025"
"52764",100131997,"ENSG00000274026"
"52765",NA,"ENSG00000274028"
"52766",NA,"ENSG00000274029"
"52767",NA,"ENSG00000274031"
"52768",NA,"ENSG00000274033"
"52769",102466741,"ENSG00000274034"
"52770",NA,"ENSG00000274038"
"52771",729461,"ENSG00000274044"
"52772",NA,"ENSG00000274046"
"52773",NA,"ENSG00000274049"
"52774",NA,"ENSG00000274051"
"52775",NA,"ENSG00000274052"
"52776",100616416,"ENSG00000274054"
"52777",NA,"ENSG00000274055"
"52778",102465253,"ENSG00000274056"
"52779",NA,"ENSG00000274059"
"52780",103504727,"ENSG00000274060"
"52781",NA,"ENSG00000274062"
"52782",NA,"ENSG00000274064"
"52783",102465257,"ENSG00000274066"
"52784",NA,"ENSG00000274067"
"52785",729438,"ENSG00000274070"
"52786",NA,"ENSG00000274072"
"52787",NA,"ENSG00000274075"
"52788",NA,"ENSG00000274076"
"52789",NA,"ENSG00000274079"
"52790",NA,"ENSG00000274080"
"52791",NA,"ENSG00000274086"
"52792",NA,"ENSG00000274090"
"52793",NA,"ENSG00000274091"
"52794",NA,"ENSG00000274092"
"52795",NA,"ENSG00000274093"
"52796",NA,"ENSG00000274097"
"52797",NA,"ENSG00000274098"
"52798",NA,"ENSG00000274099"
"52799",390538,"ENSG00000274102"
"52800",NA,"ENSG00000274104"
"52801",NA,"ENSG00000274105"
"52802",102465466,"ENSG00000274111"
"52803",NA,"ENSG00000274114"
"52804",102466518,"ENSG00000274115"
"52805",NA,"ENSG00000274116"
"52806",NA,"ENSG00000274118"
"52807",NA,"ENSG00000274121"
"52808",NA,"ENSG00000274124"
"52809",NA,"ENSG00000274127"
"52810",NA,"ENSG00000274128"
"52811",NA,"ENSG00000274133"
"52812",102466732,"ENSG00000274134"
"52813",NA,"ENSG00000274135"
"52814",NA,"ENSG00000274139"
"52815",NA,"ENSG00000274149"
"52816",NA,"ENSG00000274150"
"52817",NA,"ENSG00000274154"
"52818",NA,"ENSG00000274156"
"52819",NA,"ENSG00000274157"
"52820",NA,"ENSG00000274159"
"52821",NA,"ENSG00000274162"
"52822",NA,"ENSG00000274164"
"52823",NA,"ENSG00000274167"
"52824",NA,"ENSG00000274168"
"52825",NA,"ENSG00000274170"
"52826",102465871,"ENSG00000274172"
"52827",NA,"ENSG00000274173"
"52828",102723655,"ENSG00000274175"
"52829",NA,"ENSG00000274177"
"52830",NA,"ENSG00000274178"
"52831",256302,"ENSG00000274180"
"52832",NA,"ENSG00000274181"
"52833",474382,"ENSG00000274183"
"52834",NA,"ENSG00000274184"
"52835",NA,"ENSG00000274186"
"52836",NA,"ENSG00000274191"
"52837",100289188,"ENSG00000274196"
"52838",NA,"ENSG00000274197"
"52839",NA,"ENSG00000274198"
"52840",NA,"ENSG00000274199"
"52841",NA,"ENSG00000274202"
"52842",NA,"ENSG00000274204"
"52843",NA,"ENSG00000274206"
"52844",195977,"ENSG00000274209"
"52845",NA,"ENSG00000274210"
"52846",30837,"ENSG00000274211"
"52847",NA,"ENSG00000274212"
"52848",NA,"ENSG00000274213"
"52849",NA,"ENSG00000274214"
"52850",NA,"ENSG00000274215"
"52851",NA,"ENSG00000274216"
"52852",NA,"ENSG00000274219"
"52853",NA,"ENSG00000274220"
"52854",NA,"ENSG00000274225"
"52855",729877,"ENSG00000274226"
"52856",NA,"ENSG00000274227"
"52857",NA,"ENSG00000274228"
"52858",NA,"ENSG00000274230"
"52859",NA,"ENSG00000274231"
"52860",NA,"ENSG00000274234"
"52861",NA,"ENSG00000274235"
"52862",NA,"ENSG00000274238"
"52863",NA,"ENSG00000274242"
"52864",NA,"ENSG00000274244"
"52865",NA,"ENSG00000274248"
"52866",NA,"ENSG00000274251"
"52867",728226,"ENSG00000274252"
"52868",283683,"ENSG00000274253"
"52869",NA,"ENSG00000274256"
"52870",102465436,"ENSG00000274258"
"52871",NA,"ENSG00000274259"
"52872",NA,"ENSG00000274261"
"52873",102465800,"ENSG00000274263"
"52874",NA,"ENSG00000274265"
"52875",NA,"ENSG00000274266"
"52876",NA,"ENSG00000274269"
"52877",NA,"ENSG00000274270"
"52878",NA,"ENSG00000274272"
"52879",645051,"ENSG00000274274"
"52880",NA,"ENSG00000274275"
"52881",102724560,"ENSG00000274276"
"52882",NA,"ENSG00000274279"
"52883",102464824,"ENSG00000274280"
"52884",NA,"ENSG00000274281"
"52885",NA,"ENSG00000274282"
"52886",NA,"ENSG00000274284"
"52887",151,"ENSG00000274286"
"52888",8344,"ENSG00000274290"
"52889",NA,"ENSG00000274292"
"52890",NA,"ENSG00000274293"
"52891",NA,"ENSG00000274294"
"52892",NA,"ENSG00000274295"
"52893",NA,"ENSG00000274297"
"52894",NA,"ENSG00000274299"
"52895",102465521,"ENSG00000274300"
"52896",NA,"ENSG00000274303"
"52897",100847074,"ENSG00000274306"
"52898",NA,"ENSG00000274308"
"52899",NA,"ENSG00000274309"
"52900",NA,"ENSG00000274310"
"52901",NA,"ENSG00000274312"
"52902",102466727,"ENSG00000274314"
"52903",NA,"ENSG00000274315"
"52904",NA,"ENSG00000274316"
"52905",NA,"ENSG00000274317"
"52906",NA,"ENSG00000274319"
"52907",NA,"ENSG00000274321"
"52908",NA,"ENSG00000274322"
"52909",NA,"ENSG00000274326"
"52910",NA,"ENSG00000274328"
"52911",NA,"ENSG00000274330"
"52912",NA,"ENSG00000274331"
"52913",102724219,"ENSG00000274333"
"52914",NA,"ENSG00000274340"
"52915",NA,"ENSG00000274341"
"52916",NA,"ENSG00000274342"
"52917",NA,"ENSG00000274343"
"52918",NA,"ENSG00000274344"
"52919",NA,"ENSG00000274346"
"52920",NA,"ENSG00000274347"
"52921",26149,"ENSG00000274349"
"52922",NA,"ENSG00000274350"
"52923",NA,"ENSG00000274351"
"52924",NA,"ENSG00000274353"
"52925",NA,"ENSG00000274354"
