"","gene_id","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4033","ENSG00000145626","UGT3A1",1.10204939382128,5.05697949256873,4.0154646932766,0.00190176060942448,0.00598277014808792,-1.84831929723741
"4034","ENSG00000145649","GZMA",-2.65064495932269,0.85195146181955,-5.37461693343514,0.000200574713250459,0.0010703379530301,0.911022112004519
"4035","ENSG00000145675","PIK3R1",1.74509963309546,7.54183845105165,4.89640028234993,0.000430091904300841,0.00190387637155784,-0.125960656334841
"4036","ENSG00000145685","LHFPL2",-0.855013953186265,5.01330288017087,-3.22201261721759,0.00780705018439061,0.018405925135804,-3.28320201400203
"4037","ENSG00000145687","SSBP2",-1.711807484536,3.26292585567519,-8.77616811137367,2.11271052948826e-06,5.32194493700871e-05,5.30635518460679
"4038","ENSG00000145692","BHMT",3.47176649425454,8.75100219214891,6.05786193831728,7.1327806154951e-05,0.00050380256043365,1.82984736411346
"4039","ENSG00000145703","IQGAP2",1.64226100031745,7.99590051598179,5.4360822572008,0.00018226946391982,0.000996135621756786,0.802895040441483
"4040","ENSG00000145708","CRHBP",3.1386466849695,4.34246920002241,7.18575560668386,1.48652155274012e-05,0.000174064970678283,3.20623789542617
"4041","ENSG00000145715","RASA1",-0.693469482879665,4.83295044189609,-5.68866052759256,0.00012369665334906,0.000744965846650435,0.981684869638753
"4042","ENSG00000145723","GIN1",0.60362780046724,2.33866188638583,2.8064348709873,0.0165882436535923,0.0339769407766074,-3.72182605751414
"4043","ENSG00000145725","PPIP5K2",0.384488495604279,5.6113399060794,2.71463105889835,0.019592741380802,0.0389472731399529,-4.17836799733076
"4044","ENSG00000145730","PAM",-1.07633768660935,5.10427879640405,-5.00148818654256,0.000362713034293915,0.00168104639358582,-0.137210131525724
"4045","ENSG00000145740","SLC30A5",0.520378137729531,5.16092827134075,4.68880802305149,0.000604913470307,0.00244149989912709,-0.66649492680038
"4046","ENSG00000145743","FBXL17",0.571063005664138,4.43004289204095,4.45964596970453,0.000887498320897111,0.00329578240807596,-1.05097047685479
"4047","ENSG00000145779","TNFAIP8",-1.42072367823851,3.88235169034917,-3.81697076736567,0.00269333079952229,0.0078650878611334,-2.14712964298051
"4048","ENSG00000145817","YIPF5",0.371861355822451,4.95760307178687,2.95324521348648,0.0127077755727042,0.0273018495027144,-3.77007491786068
"4049","ENSG00000145819","ARHGAP26",-0.846472528738406,5.05694804924716,-5.94671153722508,8.40184757316805e-05,0.000566585739952854,1.38446241860059
"4050","ENSG00000145824","CXCL14",2.49252473189768,2.13501499329282,3.97302508997473,0.00204792463419257,0.00632538974821976,-1.59803323961176
"4051","ENSG00000145850","TIMD4",3.28330119730943,0.860040437550142,4.89371047485214,0.000431980449924695,0.00191127807185424,0.141751430559569
"4052","ENSG00000145860","RNF145",-1.04643690934906,4.6620307421035,-5.21520358642758,0.000257722670508995,0.00128773890705842,0.22099514413001
"4053","ENSG00000145882","PCYOX1L",-1.81897782129209,1.10896966912638,-4.56351131051458,0.000745310927246607,0.00287313718033594,-0.43496413228342
"4054","ENSG00000145907","G3BP1",0.859504498131552,7.52917866901413,4.49985502056803,0.000829350949255621,0.00312786823194271,-0.801695896725309
"4055","ENSG00000145908","ZNF300",-1.05244870857749,0.76259829606795,-3.30055462323205,0.00677433428659207,0.0164427814793363,-2.58797472753422
"4056","ENSG00000145911","N4BP3",-3.55670832520729,-0.868223655364311,-5.16758640095219,0.000277956737968424,0.00136355889887836,0.712570607728156
